,"800,00","900,00","1 000,00","1 100,00","1 200,00","1 300,00","1 400,00","1 500,00","1 600,00","1 700,00","1 800,00","1 900,00","2 000,00","2 100,00","2 200,00","2 300,00","2 400,00","2 500,00","2 600,00","2 700,00","2 800,00","2 900,00","3 000,00","3 100,00","3 200,00","3 300,00","3 400,00","3 500,00","3 600,00","3 700,00","3 800,00","3 900,00","4 000,00","4 100,00","4 200,00","4 300,00","4 400,00","4 500,00","4 600,00","4 700,00","4 800,00","4 900,00","5 000,00","5 100,00","5 200,00","5 300,00","5 400,00","5 500,00","5 600,00","5 700,00","5 800,00","5 900,00"
"2 800,00","19 925,00","20 647,00","21 371,00","22 093,00","22 815,00","23 539,00","24 261,00","24 985,00","25 707,00","26 431,00","27 153,00","27 875,00","28 599,00","29 253,00","29 906,00","30 560,00","31 213,00","31 868,00","32 522,00","33 175,00","33 829,00","34 483,00","35 136,00","35 790,00","36 444,00","37 098,00","37 752,00","38 405,00","39 059,00","39 713,00","40 366,00","41 020,00","41 675,00","42 328,00","42 982,00","43 636,00","44 289,00","44 943,00","45 597,00","46 250,00","46 905,00","47 558,00","48 212,00","50 467,00","51 084,00","51 699,00","52 315,00","52 932,00","53 547,00","54 163,00","54 780,00","55 395,00"
"2 900,00","20 195,00","20 931,00","21 667,00","22 403,00","23 138,00","23 874,00","24 610,00","25 346,00","26 082,00","26 817,00","27 553,00","28 289,00","29 025,00","29 692,00","30 359,00","31 025,00","31 691,00","32 358,00","33 025,00","33 691,00","34 358,00","35 025,00","35 692,00","36 358,00","37 025,00","37 692,00","38 359,00","39 025,00","39 692,00","40 359,00","41 026,00","41 692,00","42 359,00","43 026,00","43 693,00","44 359,00","45 026,00","45 693,00","46 360,00","47 026,00","47 693,00","48 360,00","49 027,00","51 211,00","51 837,00","52 465,00","53 092,00","53 719,00","54 347,00","54 974,00","55 601,00","56 229,00"
"3 000,00","20 466,00","21 214,00","21 963,00","22 712,00","23 460,00","24 210,00","24 959,00","25 707,00","26 456,00","27 204,00","27 953,00","28 702,00","29 450,00","30 131,00","30 810,00","31 490,00","32 170,00","32 849,00","33 529,00","34 208,00","34 888,00","35 568,00","36 247,00","36 927,00","37 607,00","38 286,00","38 967,00","39 646,00","40 325,00","41 005,00","41 685,00","42 364,00","43 044,00","43 724,00","44 403,00","45 083,00","45 763,00","46 443,00","47 122,00","47 802,00","48 482,00","49 161,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"3 100,00","20 736,00","21 498,00","22 260,00","23 021,00","23 784,00","24 545,00","25 306,00","26 068,00","26 830,00","27 592,00","28 353,00","29 115,00","29 877,00","30 570,00","31 262,00","31 955,00","32 648,00","33 340,00","34 033,00","34 725,00","35 418,00","36 111,00","36 803,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 200,00","21 007,00","21 781,00","22 556,00","23 331,00","24 106,00","24 880,00","25 655,00","26 430,00","27 204,00","27 978,00","28 753,00","29 528,00","30 303,00","31 009,00","31 714,00","32 420,00","33 125,00","33 831,00","34 537,00","35 241,00","35 947,00","36 652,00","37 358,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 300,00","21 277,00","22 065,00","22 852,00","23 641,00","24 428,00","25 216,00","26 003,00","26 791,00","27 578,00","28 366,00","29 153,00","29 941,00","30 728,00","31 448,00","32 166,00","32 884,00","33 603,00","34 321,00","35 040,00","35 759,00","36 477,00","37 195,00","37 913,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 400,00","21 548,00","22 348,00","23 149,00","23 949,00","24 751,00","25 551,00","26 352,00","27 152,00","27 952,00","28 753,00","29 553,00","30 354,00","31 155,00","31 886,00","32 617,00","33 349,00","34 081,00","34 812,00","35 544,00","36 275,00","37 006,00","37 738,00","38 469,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 500,00","21 819,00","22 632,00","23 445,00","24 259,00","25 073,00","25 886,00","26 699,00","27 513,00","28 327,00","29 141,00","29 953,00","30 767,00","31 581,00","32 325,00","33 070,00","33 814,00","34 559,00","35 303,00","36 048,00","36 792,00","37 536,00","38 281,00","39 025,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 600,00","22 089,00","22 915,00","23 743,00","24 569,00","25 395,00","26 222,00","27 048,00","27 874,00","28 701,00","29 527,00","30 353,00","31 180,00","32 007,00","32 764,00","33 521,00","34 278,00","35 036,00","35 793,00","36 551,00","37 309,00","38 066,00","38 823,00","39 581,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 700,00","22 360,00","23 199,00","24 039,00","24 878,00","25 718,00","26 557,00","27 397,00","28 236,00","29 075,00","29 915,00","30 753,00","31 593,00","32 432,00","33 203,00","33 973,00","34 743,00","35 514,00","36 284,00","37 055,00","37 825,00","38 595,00","39 366,00","40 136,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 800,00","22 631,00","23 483,00","24 335,00","25 187,00","26 040,00","26 893,00","27 744,00","28 597,00","29 449,00","30 302,00","31 154,00","32 006,00","32 859,00","33 642,00","34 425,00","35 209,00","35 992,00","36 775,00","37 559,00","38 342,00","39 125,00","39 908,00","40 692,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 900,00","22 901,00","23 767,00","24 632,00","25 497,00","26 362,00","27 228,00","28 093,00","28 958,00","29 823,00","30 688,00","31 554,00","32 420,00","33 285,00","34 081,00","34 877,00","35 674,00","36 470,00","37 266,00","38 061,00","38 858,00","39 654,00","40 450,00","41 247,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 000,00","23 171,00","24 050,00","24 928,00","25 806,00","26 685,00","27 563,00","28 441,00","29 319,00","30 198,00","31 076,00","31 954,00","32 832,00","33 710,00","34 520,00","35 329,00","36 138,00","36 947,00","37 757,00","38 565,00","39 375,00","40 184,00","40 993,00","41 803,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 100,00","23 442,00","24 334,00","25 224,00","26 116,00","27 007,00","27 899,00","28 789,00","29 680,00","30 572,00","31 463,00","32 354,00","33 245,00","34 137,00","34 959,00","35 781,00","36 603,00","37 425,00","38 247,00","39 069,00","39 892,00","40 714,00","41 536,00","42 358,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 200,00","23 713,00","24 617,00","25 521,00","26 425,00","27 329,00","28 233,00","29 138,00","30 042,00","30 946,00","31 850,00","32 755,00","33 659,00","34 563,00","35 398,00","36 232,00","37 068,00","37 903,00","38 738,00","39 573,00","40 408,00","41 243,00","42 078,00","42 914,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 300,00","23 983,00","24 901,00","25 817,00","26 735,00","27 652,00","28 568,00","29 486,00","30 403,00","31 320,00","32 237,00","33 155,00","34 071,00","34 988,00","35 837,00","36 685,00","37 532,00","38 381,00","39 229,00","40 076,00","40 925,00","41 773,00","42 621,00","43 469,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 400,00","24 254,00","25 184,00","26 114,00","27 044,00","27 974,00","28 904,00","29 835,00","30 764,00","31 694,00","32 625,00","33 555,00","34 484,00","35 414,00","36 275,00","37 136,00","37 997,00","38 858,00","39 719,00","40 580,00","41 441,00","42 302,00","43 163,00","44 024,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 500,00","24 525,00","25 468,00","26 411,00","27 354,00","28 296,00","29 239,00","30 182,00","31 125,00","32 068,00","33 012,00","33 955,00","34 898,00","35 841,00","36 714,00","37 588,00","38 463,00","39 336,00","40 210,00","41 084,00","41 958,00","42 832,00","43 706,00","44 580,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 600,00","24 795,00","25 751,00","26 707,00","27 663,00","28 619,00","29 575,00","30 531,00","31 486,00","32 443,00","33 398,00","34 355,00","35 310,00","36 267,00","37 153,00","38 040,00","38 927,00","39 814,00","40 701,00","41 587,00","42 475,00","43 362,00","44 248,00","45 135,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 700,00","25 066,00","26 035,00","27 004,00","27 972,00","28 941,00","29 910,00","30 879,00","31 848,00","32 817,00","33 786,00","34 755,00","35 723,00","36 692,00","37 592,00","38 492,00","39 392,00","40 292,00","41 192,00","42 091,00","42 991,00","43 891,00","44 791,00","45 691,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 800,00","25 337,00","26 318,00","27 300,00","28 282,00","29 264,00","30 245,00","31 227,00","32 209,00","33 192,00","34 173,00","35 155,00","36 137,00","37 119,00","38 031,00","38 945,00","39 857,00","40 769,00","41 682,00","42 595,00","43 508,00","44 420,00","45 334,00","46 246,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 900,00","25 606,00","26 602,00","27 596,00","28 592,00","29 586,00","30 581,00","31 576,00","32 570,00","33 565,00","34 560,00","35 555,00","36 549,00","37 545,00","38 470,00","39 396,00","40 322,00","41 247,00","42 173,00","43 098,00","44 024,00","44 951,00","45 876,00","46 802,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 000,00","25 877,00","26 885,00","27 893,00","28 900,00","29 908,00","30 916,00","31 924,00","32 932,00","33 939,00","34 947,00","35 955,00","36 963,00","37 970,00","38 909,00","39 848,00","40 786,00","41 725,00","42 664,00","43 602,00","44 541,00","45 480,00","46 418,00","47 357,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
